vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Senior Data Scientist,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83223312?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist (ChatGPT/Operations),,,,Ostrovok.ru,"Москва, Спортивная",https://chelyabinsk.hh.ru/vacancy/83165316?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,ПАО «Газпром нефть» ,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/82675818?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/79404780?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Литрес,"Москва, Выставочная и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82470787?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,450000,₽,getmatch,Москва,https://chelyabinsk.hh.ru/vacancy/82107605?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик данных / Data Scientist (middle+),,,,Сибур,"Москва, Профсоюзная",https://chelyabinsk.hh.ru/vacancy/81311165?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,ГАУ Города Москвы Центр цифровизации образования,"Москва, Улица 1905 года",https://chelyabinsk.hh.ru/vacancy/76461371?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist middle/senior,,,,X5 Tech,Москва,https://chelyabinsk.hh.ru/vacancy/82893426?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist (Гео и графы),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83098940?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (HR-модели),,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/82347150?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/83047595?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (application-инженер),250000,400000,₽,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/82104878?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist в команду CVM AI,,,,Райффайзен Банк,Москва,https://chelyabinsk.hh.ru/vacancy/82435811?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist (ML разработчик),,,,Группа НЛМК ИТ и Диджитал,Москва,https://chelyabinsk.hh.ru/vacancy/82936981?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist,,,,INSITECH Development,Москва,https://chelyabinsk.hh.ru/vacancy/81326729?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,LC Group,"Новосибирск, Октябрьская",https://chelyabinsk.hh.ru/vacancy/78007068?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Team Lead Data Scientist,,,,Самокат (ООО Умное пространство),Москва,https://chelyabinsk.hh.ru/vacancy/82902908?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (риски),,,,ООО Бюро кредитных историй Скоринг Бюро,Москва,https://chelyabinsk.hh.ru/vacancy/82232163?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist/Machine learning engineer в команду CoreML,,,,"VK, ВКонтакте",Москва,https://chelyabinsk.hh.ru/vacancy/82305092?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
NLP Data Scientist,,,,Сбер. Data Science,Москва,https://chelyabinsk.hh.ru/vacancy/79909326?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Senior Consultant, Data Scientist, Technology Group",,,,ТОО KPMG,Алматы,https://chelyabinsk.hh.ru/vacancy/52581749?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist (Логистика),,,,Самокат (ООО Умное пространство),Москва,https://chelyabinsk.hh.ru/vacancy/81517107?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Computer Vision),,,,ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",https://chelyabinsk.hh.ru/vacancy/82567209?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,ООО UNITEL LLC,Ташкент,https://chelyabinsk.hh.ru/vacancy/81459076?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist в отдел валидации,,,,«РОСБАНК»,Москва,https://chelyabinsk.hh.ru/vacancy/82674133?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
